"R0vals","init_rec_vals","psym_vals","sigma_v_vals","sym_red_vals","is_sym_vals","is_vals","intro_vals","init_prev_vals","init_vacc_vals"
4.5,0.27,0.55,0.37,0.27,0.24,0.925,7.5,0.00315,0.46
5.5,0.37,0.65,0.5,0.37,0.28,0.925,12.5,0.00525,0.64
